TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
,,hasło: PannaAnna57!PannaAnna,3,"Patrzę na pole ""Czas""",Widzę czas podany w formacie gg:mm:ss
,,,4,"Patrzę na pole ""Numer zadania""",Widzę numer zadania do wykonania
,,,5,"Patrzę na pole ""Opis problemu"" ",Widzę polecenie zadania wyświetlonego do wykonania wraz z ilością punktów za zadanie
,,,6,"Patrzę na pole ""Lista zadań""",Widzę pola z numerami zadań
9,"Działanie przycisków nawigacyjnych ""Następny"" i ""Poprzedni""",Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,Patrzę na numer zadania,Wyświetla się zadania nr 1
,,,4,"Klikam przycisk ""Następne""",Wyświetla się zadanie nr 2
,,,5,"Klikam przycisk ""Poprzednie""",Wyświetla mi się zadanie nr 1
10,"Działanie przycisku ""Zgłoś defekt""",Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,"Klikam ""Zgłoś defekt""","Uruchamia się okno w postaci checkbox z kategoriami defektów:
- Funkcjonalność
- Przenaszalność
- Bezpieczeństwo
- Niezawodność
- Wydajność
- Walidacja wartości pola
- Walidacja danych
- Informacja w interfejsie niezgodna z rzeczywistością
- Dopasowanie
- Dostępność
- Interfejs
- Baza danych
- Wartości graniczne i klasy równoważności
- Przepływ sterowania
- Operacje matematyczne"
,,,4,"Klikam ""Funkcjonalność"" i ""Przenaszalność""","Wyświetla się komunikat ""Możesz wybrać tylko jedną kategorię defektu"""
,,,5,"Odklikuję ""Przenaszalność""","Wyświetla się komunikat ""Uwaga! Po zatwierdzeniu zadania nie będziesz mógł(a) do niego wrócić. Czy chcesz kontynuować?"""
,,,6,"Klikam ""TAK""","Wyświetliło się kolejne zadania, nie ma możliwości powrotu do poprzedniego"
11,"Działanie przycisku ""Zakończ""",Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,Patrzę na numer zadania,Wyświetla się zadania nr 1
,,,4,"Klikam przycisk ""Zakończ""","Wyświetla się komunikat ""Po zakończeniu Twój wynik zostanie przeliczony w oparciu o aktualne rozwiązania. Czy chcesz zakończyć?"" oraz przyciski ""Tak"" i ""Nie"""
,,,5,"Klikam przycisk ""Tak""","Wyświetla się komunikat z aktualną liczbą punktów, swoim najlepszym wynikiem, czasem trwania rundy i liczbą ukończonych zadań"
,,,6,"Klikam przycisk ""Zamknij"" ",Program zamyka się
12,Punktacja za zadania,Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,Patrzę na punktację za wszystkie zadania,"Widzę zadania, za które można dostać 1,2,3,4,5 lub 6 punktów"
,,,4,"Klikam ""Zakończ""","Wyświetla się komunikat ""Po zakończeniu Twój wynik zostanie przeliczony w oparciu o aktualne rozwiązania. Czy chcesz zakończyć?"" oraz przyciski ""Tak"" i ""Nie"""
,,,5,"Klikam ""TAK""",Otwiera się okno z liczbą pkt 0
,,,6,Otwieram ponownie aplikację,Aplikacja otwiera się
,,,7,"Loguję się poprawnymi danymi i klikam ""Rozpocznij""",Uruchamia się okno aplikacji z zadaniami
,,,8,"Wykonuję zadanie i klikając ""Zgłoś defekt"" zaznaczam niepoprawną odpowiedź i klikam zatwierdź","Wyświetlił się komunikat ""Uwaga! Po zatwierdzeniu zadania nie będziesz mógł(a) do niego wrócić. Czy chcesz kontynuować?"""
,,,9,"Klikam ""TAK""",Otwiera się kolejne zadanie
,,,10,"Klikam ""Zakończ""","Wyświetla się komunikat ""Po zakończeniu Twój wynik zostanie przeliczony w oparciu o aktualne rozwiązania. Czy chcesz zakończyć?"" oraz przyciski ""Tak"" i ""Nie"""
,,,11,"Klikam ""TAK""",Otwiera się okno z liczbą pkt -2
13,"Pole ""Lista zadań"" - wygląd zadań wykonanych i niewykonanych",Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,Patrzę jak wyglądają ikony zadań,"Okrągłe pole zadania nr 1, które muszę wykonać jest czarne, pozostałe pola są białe"
,,,4,"Klikam ""Zgłoś defekt""",Wyświetla się okno z rodzajem defektu do wyboru
,,,5,"Wybieram ""Funkcjonalność"" i klikam zatwierdź","Wyświetlił się komunikat ""Uwaga! Po zatwierdzeniu zadania nie będziesz mógł(a) do niego wrócić. Czy chcesz kontynuować?"""
,,,6,"Klikam ""Tak""","Widzę następne zadanie. Zadanie nr 1 jest wyszarzone, nie można na nie kliknąć. Pole z numerem zadania 2 jest czarne. Pozostałe niewykonane zadania są białe "
14,"Pole ""Lista zadań"" - nawigacja pomiędzy zadaniami",Otwarta aplikacja MrBuggy 3,1,"Wpisuję e-mail, hasło i klikam ""Zaloguj""","Uruchamia się okno ""Dane użytkownika"""
,,e-mail: annagnat556@wp.pl,2,"Klikam ""Rozpocznij""",Wyświetla się okno z zadaniami do wykonania
,,hasło: PannaAnna57!PannaAnna,3,Patrzę na numer zadania,Widzę wyświetlone zadanie nr 1.
,,,4,Klikam na ikonę zadania nr 8,Wyświetla się zadanie nr 8
,,,5,Klikam ikonę zadania nr 5,Wyświetla się zadanie nr 5
